x,r,g,b,L,C,h
0.24313725490196078,0.22651237714400707,0.22651027879104357,0.226521016592667,24.313725490196077,0.0,0.0
0.24705882352941178,0.22993958840516981,0.22993746450626418,0.22994833303292006,24.705882352941174,0.0,0.0
0.25098039215686274,0.2333750640889214,0.23337291458247172,0.2333839141493922,25.09803921568627,0.0,0.0
0.2549019607843137,0.2368187449786079,0.23681656980345384,0.2368277007236122,25.490196078431374,0.0,0.0
0.2588235294117647,0.24027057283826114,0.24026837193367628,0.24027963451782458,25.882352941176464,0.0,0.0
0.2627450980392157,0.2437304903873161,0.2437282636930011,0.24373965824970656,26.274509803921575,0.0,0.0
0.26666666666666666,0.24719844127620783,0.24719618873228327,0.24720771556796373,26.66666666666667,0.0,0.0
0.27058823529411763,0.2506743700628122,0.250672091609812,0.2506837510287705,27.058823529411768,0.0,0.0
0.27450980392156865,0.2541582221896905,0.2541559177685553,0.2541677100730138,27.450980392156865,0.0,0.0
0.2784313725490196,0.2576499439621065,0.2576476135141769,0.2576595390043096,27.84313725490197,0.0,0.0
0.2823529411764706,0.2611494825267806,0.26114712599379153,0.2611591849677563,28.235294117647058,0.0,0.0
0.28627450980392155,0.26465678585135255,0.26465440317542643,0.2646665959293966,28.62745098039216,0.0,0.0
0.2901960784313725,0.26817180270451957,0.268169393828161,0.26818172065635576,29.01960784313725,0.0,0.0
0.29411764705882354,0.27169448263682666,0.27169204750291615,0.2717045086976303,29.411764705882355,0.0,0.0
0.2980392156862745,0.2752247759620774,0.2752223145138658,0.2752349103654991,29.80392156862746,0.0,0.0
0.30196078431372547,0.2787626337393437,0.2787601459204466,0.278772876717532,30.19607843137255,0.0,0.0
0.3058823529411765,0.2823080077555482,0.2823054935099407,0.28231835953917195,30.58823529411766,0.0,0.0
0.30980392156862746,0.28586085050859705,0.2858583097806082,0.28587131132686744,30.98039215686275,0.0,0.0
0.3137254901960784,0.2894211151910422,0.2894185479253499,0.28943168527173374,31.372549019607845,0.0,0.0
0.3176470588235294,0.2929887556742496,0.29298616181587595,0.29299943524372146,31.764705882352942,0.0,0.0
