x,r,g,b,L,C,h,dL,d2L,dC,d2C,dh,d2h
0.7098039215686275,1.0,0.741466957153232,0.0,80.56732156746597,83.4932656485281,1.4340277628795433,-0.8894152649301716,0.006327485119431486,-0.33851414999033125,0.05554657028201859,-0.02380040733915112,-0.00023234849773290378
0.7137254901960784,1.0,0.7269426289034134,0.0,79.68106830433675,83.18254756606605,1.410110810537053,-0.8829203795077092,0.006669329345275088,-0.282466365678367,0.05645324540086705,-0.024011742200218622,-0.000188913204742569
0.7176470588235294,1.0,0.712418300653595,0.0,78.80148080845055,82.92833291717136,1.386004278479106,-0.8760766062396215,0.007025413334790898,-0.22560765918859715,0.057159487873441606,-0.024178233748636258,-0.00014282686066841022
0.7215686274509804,1.0,0.6978939724037765,0.0,77.9289150918575,82.73133224768885,1.3617543430397805,-0.8688695528381274,0.007396022981779993,-0.16814738993148381,0.057648180535821325,-0.024297395921555442,-9.444793483809333e-05
0.7254901960784313,1.0,0.6833696441539581,0.0,77.0637417027743,82.59203813730839,1.3374094866359951,-0.8612845602760615,0.0077814019398587675,-0.1103112981169545,0.0579038650293171,-0.024367129618312444,-4.4188331673800096e-05
0.7294117647058823,1.0,0.6688453159041396,0.0,76.20634597130538,82.51070965145495,1.3130200838031556,-0.8533067489584099,0.00818174334446553,-0.05233965987284961,0.057913097135632086,-0.024385772584903043,7.494782151007406e-06
0.7333333333333333,1.0,0.6543209876543212,0.0,75.35712820485747,82.4873588175627,1.288637941466189,-0.8449210735871304,0.008597180690497197,0.0055148961543096675,0.05766476154615674,-0.02435214005401043,6.0109124861318364e-05
0.7372549019607844,1.0,0.6397966594045028,0.0,74.51650382413112,82.52173944376356,1.2643158036951347,-0.8361123875774155,0.009027777844035967,0.06298986321946387,0.05715033326348973,-0.024265554335180406,0.00011313901900372736
0.7411764705882353,1.0,0.6252723311546844,0.0,73.68490342970264,82.61333854400162,1.2401068327958282,-0.8268655178990585,0.009473518180488583,0.11981556268128912,0.05636407539315513,-0.024125862016002975,0.00016605816766279702
0.7450980392156863,1.0,0.6107480029048659,0.0,72.862772788333,82.76137056912614,1.2160640796631288,-0.8171653512164383,0.009934292858492455,0.17571801400577414,0.055303166412841165,-0.023933437999854812,0.00021834289377398175
0.7490196078431373,1.0,0.5962236746550474,0.0,72.05057272726977,82.96477457201317,1.1922399567961186,-0.8069969321820736,0.010409888260351607,0.23042189550697145,0.05396775384295793,-0.02368917622845501,0.00026948521427144767
0.7529411764705882,1.0,0.5816993464052289,0.0,71.24877892396886,83.22221436014009,1.1686857272062188,-0.7963455746957351,0.010899972655174395,0.28365352169169,0.052360935264466946,-0.023394467571311917,0.00031900513369853556
0.7568627450980392,1.0,0.5671750181554105,0.0,70.4578815778783,83.53208161539655,1.1454510216534948,-0.7851969868717248,0.011404082170933805,0.33514376603590534,0.05048867149736935,-0.02305116596105794,0.0003664616008635657
0.7607843137254902,1.0,0.5526506899055921,0.0,69.67838495022541,83.8925018922119,1.122583395284103,-0.7735374103538675,0.011921606197017098,0.3846308646864287,0.048359640142713545,-0.022661544369584785,0.0004114616708125185
0.7647058823529411,1.0,0.5381263616557737,0.0,68.91080675717056,84.3013433447694,1.1001279329143252,-0.7613537744776906,0.012451772377833237,0.43186304632133243,0.04598504033858575,-0.022228242619432903,0.00045366754234632545
